,index,review_1_text_sentiment,review_2_text_sentiment,review_1_sentiment,review_2_sentiment,review_1_sentiment_binary,review_2_sentiment_binary,review_2_sentiment_mean
0,0,,,,,,,
1,1,Very good reviews!,Fine dining in Hakaniemi,0.9394086,0.95608956,1.0,1.0,1.0
2,2,Better than the Links,Ivy Black,0.908255,0.28275317,1.0,0.0,1.0
3,3,Most exquisite,Delicious and authentic,0.99770474,0.9993743,1.0,1.0,1.0
4,4,Always the best in bratislava,Very good but pricey,0.9999504,0.9818356,1.0,1.0,1.0
5,5,Lunch Break,Good to Quick Bite,0.39966962,0.9997184,0.0,1.0,1.0
6,6,,,,,,,
7,7,,,,,,,
8,8,Big group supper,Good food but very slow service :(,0.20379338,0.11553252,0.0,0.0,0.0
9,9,Good food,Good pizza,0.9709294,0.9867426,1.0,1.0,1.0
10,10,"Very pretentious, but drinks are top notch",A private cocktail bar open to the public,0.9635546,0.34111512,1.0,0.0,1.0
11,11,GREAT APERITIVO WITH STYLE,Disappointing,0.9999605,7.7957426e-05,1.0,0.0,1.0
12,12,You always feel very Welcome at this cozy...,,0.99852973,,1.0,,1.0
13,13,Surprisingly good pizza,Yummy,0.9988908,0.9931754,1.0,1.0,1.0
14,14,"Good food, beer, value and service",Eat underground in a cave,0.9928461,0.95854706,1.0,1.0,1.0
15,15,Very nice food and staff,Lovely service and staff!,0.9965987,0.9647369,1.0,1.0,1.0
16,16,"truly Neapolitan pizza, new/slick location",Good pizza but i expected better from this...,0.9944364,0.26966548,1.0,0.0,1.0
17,17,Quite a decent pub,in the middle of nothing,0.78209984,0.011801511,1.0,0.0,0.0
18,18,,,,,,,
19,19,Local joy,"Cozy, cute and good food",0.98786527,0.9999833,1.0,1.0,1.0
20,20,,,,,,,
21,21,Pizza and Mac & Cheese are on POINT!,Great atmosphere and pizza!,0.2651966,0.9989722,0.0,1.0,1.0
22,22,Amazing,Loved It!!!!,0.9990692,0.9978991,1.0,1.0,1.0
23,23,Good pizza in Woluwe,Cosy environment,0.9910941,0.99986637,1.0,1.0,1.0
24,24,The cheese sauce is the way.,Vegan experience,0.2637457,0.9868772,0.0,1.0,1.0
25,25,,,,,,,
26,26,Good regional cooking and friendly staff,"A bit old fahion, but a nice place",0.9999606,0.7862348,1.0,1.0,1.0
27,27,Great time at Balabar,Great local tapas bar,0.9973029,0.999707,1.0,1.0,1.0
28,28,,,,,,,
29,29,Lovely food!,Nightmare,0.9953481,0.0001590848,1.0,0.0,0.0
30,30,Atmosphere and drinks nice,Spectacular Views,0.8637414,0.93861675,1.0,1.0,1.0
31,31,Very good food,,0.99915045,,1.0,,1.0
32,32,Very tasty food and impeccable service!,"Wanted to like it more, but too many disap...",0.99999774,0.002586484,1.0,0.0,1.0
33,33,"Nothing special, lazy service",Great food,0.022991508,0.9993328,0.0,1.0,1.0
34,34,Worthy of a trip out of the city centre!,Great place!,0.1112088,0.9991902,0.0,1.0,1.0
35,35,My go to for great delivery!,When you want a taste of Asia in Europe,0.98903537,0.61849636,1.0,1.0,1.0
36,36,Very good spot either to eat or have a dri...,Feel like a local,0.9860374,0.31840894,1.0,0.0,1.0
37,37,"Great atmosphere, great food",Brunch,0.9995586,0.4474834,1.0,0.0,1.0
38,38,Upstairs Quieter and Pleasant,"Delicious, but a bit expensive",0.9993227,0.9892092,1.0,1.0,1.0
39,39,"Fantastic, friendly service",High quality cozy neighborhood coffee bar,0.99977744,0.99998677,1.0,1.0,1.0
40,40,Do it,Anniversary Brunch,0.5677457,0.9770179,1.0,1.0,1.0
41,41,Worst experience ever!!,Bad everything,0.00010312229,0.01861152,0.0,0.0,0.0
42,42,Great pub,"Not a friendly pub, but the beer is ok",0.9880124,0.0007509589,1.0,0.0,0.0
43,43,,,,,,,
44,44,Come for the wine more than the food,Desserts make this 4*,0.960344,0.9579522,1.0,1.0,1.0
45,45,Touristy Cafe - Expensive,Much Better than Expected,0.214241,0.94531304,0.0,1.0,1.0
46,46,,,,,,,
47,47,Good food,complete satisfaction,0.9709294,0.7095157,1.0,1.0,1.0
48,48,Thomas,,0.5749669,,1.0,,1.0
49,49,Best for: North African food with an atmos...,Souk Medina - for an Authentic Turkish Mea...,0.9994366,0.8412938,1.0,1.0,1.0
50,50,The best in Budapest so far,,0.999632,,1.0,,1.0
51,51,"Cozy and cute, good selection of beer, nic...",Very cozy place and good food!,0.9999882,0.9999973,1.0,1.0,1.0
52,52,Nice cafe,special cakes,0.5932098,0.961414,1.0,1.0,1.0
53,53,,,,,,,
54,54,,,,,,,
55,55,Coffee was fine - and as it says low price,,0.07817,,0.0,,0.0
56,56,"Dinner', ""Mum's 80th Birthday Surprise Lunch""",,0.88696873,,1.0,,1.0
57,57,Nice lunch spot,Great team lunch,0.99727774,0.99995774,1.0,1.0,1.0
58,58,,,,,,,
59,59,,,,,,,
60,60,Magnificent quirky cocktails,Afternoon Cocktails,1.0,0.9002142,1.0,1.0,1.0
61,61,Great stop,Superb tapas!,0.99919415,0.9999443,1.0,1.0,1.0
62,62,Fantastic little hidden place,Very delicious food in the citycenter,0.999894,0.99918294,1.0,1.0,1.0
63,63,Elegant yet approachable,,0.92828715,,1.0,,1.0
64,64,Worth a visit for fish n chips!,Such a nice atmosphere,0.44718546,0.8799045,0.0,1.0,1.0
65,65,,,,,,,
66,66,,,,,,,
67,67,A little piece of Texas in Paris.,Excellent meal,0.9915644,0.99976313,1.0,1.0,1.0
68,68,Great Sumatera coffee serve here,Superb coffee,0.9996774,0.999891,1.0,1.0,1.0
69,69,Local place for a local atmosphere,Highly recommended,0.884199,0.9999819,1.0,1.0,1.0
70,70,great stop for a quck and tasty bite,Nice but pricey,0.9997884,0.449885,1.0,0.0,1.0
71,71,Great little cafe,Nice Cafe definitely improved,0.99864733,0.9999984,1.0,1.0,1.0
72,72,Most creative breakfast in Hamburg,cozy atmoshere for breakfast,0.98933387,0.99974906,1.0,1.0,1.0
73,73,Great beers and quality pies,Lovely old city pub,0.99978757,0.94859636,1.0,1.0,1.0
74,74,"""Nova' Doba""",,0.3836408,,0.0,,0.0
75,75,Good choice for local dinner,Perfect for a Christmas catch up,0.9921576,0.99978244,1.0,1.0,1.0
76,76,Nice place but...,Best arrival lunch,0.7007906,0.9974816,1.0,1.0,1.0
77,77,Evening medl,Tasty food!!,0.3572326,0.9918577,0.0,1.0,1.0
78,78,,,,,,,
79,79,,,,,,,
80,80,Outstanding restaurant,Great spot,0.999918,0.99998164,1.0,1.0,1.0
81,81,,,,,,,
82,82,Great value for a breakfast,Pat Hanway,0.9978075,0.905331,1.0,1.0,1.0
83,83,,,,,,,
84,84,The right choice,Excellent Polish cuisine,0.80494976,0.9973994,1.0,1.0,1.0
